,round,KRÃœ Esports,Keyd Stars,date,map,event
0,1,3,0,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
1,2,3,0,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
2,3,0,3,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
3,4,3,0,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
4,5,0,4,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
5,6,0,3,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
6,7,0,3,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
7,8,0,4,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
8,9,0,4,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
9,10,0,3,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
10,11,3,0,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
11,12,0,3,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
12,13,0,3,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
13,14,0,3,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
14,15,2,0,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
15,16,1,0,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
16,17,1,0,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
17,18,2,0,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
18,19,2,0,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
19,20,2,0,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
20,21,0,4,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
21,22,2,0,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
22,23,1,0,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
23,24,1,0,15-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
